datetime,open,high,low,close,volume
2025-07-03 17:30:00,658.79,659.2,658.79,659.19,160.597
2025-07-03 17:35:00,659.19,659.26,659.03,659.15,160.155
2025-07-03 17:40:00,659.14,659.23,659.07,659.22,161.986
2025-07-03 17:45:00,659.22,659.38,659.2,659.37,84.96
2025-07-03 17:50:00,659.38,659.43,659.23,659.24,155.872
2025-07-03 17:55:00,659.24,659.24,659.01,659.11,262.679
2025-07-03 18:00:00,659.1,659.83,659.1,659.68,226.888
2025-07-03 18:05:00,659.68,659.68,659.5,659.59,84.919
2025-07-03 18:10:00,659.59,659.59,658.69,658.99,291.68
2025-07-03 18:15:00,658.99,659.06,658.87,659.05,160.72
2025-07-03 18:20:00,659.06,659.5,659.06,659.49,197.114
2025-07-03 18:25:00,659.49,660.0,659.46,660.0,142.504
2025-07-03 18:30:00,660.0,660.0,659.53,659.54,189.113
2025-07-03 18:35:00,659.54,660.24,659.54,660.1,442.297
2025-07-03 18:40:00,660.11,660.18,660.06,660.17,117.068
2025-07-03 18:45:00,660.18,660.18,660.05,660.06,89.769
2025-07-03 18:50:00,660.07,660.3,660.06,660.29,109.546
2025-07-03 18:55:00,660.3,660.53,660.29,660.53,87.906
2025-07-03 19:00:00,660.52,661.15,660.52,661.15,181.425
2025-07-03 19:05:00,661.14,661.4,661.05,661.32,109.784
2025-07-03 19:10:00,661.31,661.49,661.31,661.42,118.246
2025-07-03 19:15:00,661.43,661.58,661.42,661.54,102.287
2025-07-03 19:20:00,661.55,661.68,661.54,661.67,71.387
2025-07-03 19:25:00,661.67,661.89,661.67,661.89,63.883
2025-07-03 19:30:00,661.88,661.89,661.35,661.36,218.858
2025-07-03 19:35:00,661.36,661.68,661.35,661.62,102.165
2025-07-03 19:40:00,661.62,661.9,661.62,661.89,97.575
2025-07-03 19:45:00,661.89,661.9,661.83,661.84,170.417
2025-07-03 19:50:00,661.84,661.84,661.44,661.5,156.445
2025-07-03 19:55:00,661.5,661.77,661.47,661.57,164.502
2025-07-03 20:00:00,661.57,661.99,661.56,661.86,147.155
2025-07-03 20:05:00,661.87,662.2,661.87,662.2,157.766
2025-07-03 20:10:00,662.2,662.35,662.1,662.1,114.591
2025-07-03 20:15:00,662.11,662.19,661.94,662.17,102.263
2025-07-03 20:20:00,662.18,662.27,662.1,662.25,111.764
2025-07-03 20:25:00,662.25,662.5,662.24,662.41,84.388
2025-07-03 20:30:00,662.4,662.44,662.0,662.01,94.418
2025-07-03 20:35:00,662.01,662.19,661.98,661.98,181.352
2025-07-03 20:40:00,661.98,662.1,661.98,662.09,222.647
2025-07-03 20:45:00,662.08,662.33,661.62,662.16,567.493
2025-07-03 20:50:00,662.16,662.18,661.85,661.85,117.902
2025-07-03 20:55:00,661.86,661.89,661.75,661.75,76.669
